codigo,materia,creditos,correlativas,categoria,nivel
5.3.4,Ejecutar entrega del programa (ADAPTABLE SEGÚN CADA PROGRAMA),0,5.3,Materias Obligatorias,2
5.3.4.1,Hacer construir/comprar solución,0,5.3.4,Materias Electivas,3
5.3.4.2,Implementar la solución,0,5.3.4.1,Materias Electivas,4
5.4,Evaluación del programa,0,5,Materias Obligatorias,1
5.4.1,Seguimiento de proyectos,0,5.4,Materias Obligatorias,2
5.4.1.1,Desarrollar estrategia de seguimiento del proyecto (OPCIONAL SEGÚN SI APLICA O NO),0,5.4.1,Materias Electivas,3
5.4.1.1.1,Definir objetivos del seguimiento,0,5.4.1.1,Materias Electivas,4
5.4.1.1.2,Definir tipo destinatario,0,5.4.1.1.1,Materias Electivas,5
5.4.1.1.3,Definir politicas/formas de trabajar para desarrollar con exito el seguimiento                ,0,5.4.1.1.2,Materias Electivas,6
5.4.1.1.4,Evaluar que recursos son requeridos para el seguimiento y cuales están disponibles,0,5.4.1.1.3,Materias Electivas,7
5.4.1.1.5,Asignar responsable,0,5.4.1.1.4,Materias Electivas,8
5.4.1.1.6,Definir las etapas del proceso del seguimiento (de aplicar tener en cuenta atención a consultas/preguntas),0,5.4.1.1.5,Materias Electivas,9
5.4.1.1.7,Definir cronograma de seguimientos,0,5.4.1.1.6,Materias Electivas,10
5.4.1.2,Ejecución de seguimiento (OPCIONAL SEGÚN SI APLICA O NO),0,5.4.1.1.7,Materias Electivas,11
5.4.1.2.1,Ejecutar proceso de seguimiento,0,5.4.1.2,Materias Electivas,12
5.4.1.2.2,Gestionar y controlar el cumplimiento del seguimiento,0,5.4.1.2.1,Materias Electivas,13
5.4.1.3,Evaluar satisfacción del protagonista con el programa (OBLIGATORIO),0,5.4.1.2.2,Materias Electivas,14
5.4.1.3.1,Crear cuestionario para retroalimentación,0,5.4.1.3,Materias Electivas,15
5.4.1.3.2,Solicitar retroalimentación sobre manejo y resolución de consultas,0,5.4.1.3.1,Materias Electivas,16
5.4.1.3.3,Analizar datos e identificar oportunidades de mejora,0,5.4.1.3.2,Materias Electivas,17
5.4.1.3.4,Proporcionar comentarios a la gestión para mejorar experiencia,0,5.4.1.3.3,Materias Electivas,18
5.4.2,Finalizacion del programa o una de sus partes (APLICABLE A PROGRAMAS CON CIERRE),0,5.4,Materias Obligatorias,2
5.4.2.1,Revisar todo el proceso de prestacion del servicio para evaluar el exito del programa,0,5.4.2,Materias Electivas,3
5.4.2.2,Asegurarse de que se reciban todos los pagos y se completen todas las actividades,0,5.4.2.1,Materias Electivas,4
5.4.2.3,Confirmar que la organización cumplio con todos los plazos,0,5.4.2.2,Materias Electivas,5
5.4.2.4,Liberar a los recursos ocupados,0,5.4.2.3,Materias Electivas,6
5.4.2.5,Garantizar y asegurarse de que todos los aspectos del proyecto (internos y externos) esten finalizados,0,5.4.2.4,Materias Electivas,7
5.4.2.6,Actualizar todos los sistemas necesarios para reflejar la prestacion del servcio,0,5.4.2.5,Materias Electivas,8
